artist,album,key,local,spotify_album_uri,album_art
Grace VanderWaal,Just the beginning ,89,0,55LUvkPPMUgwQVmypS3Wex,https://a5.mzstatic.com/us/r1000/0/Music114/v4/97/7e/a0/977ea0b6-1816-24e3-b224-d70b2d131597/886446736136.jpg
Sigur Ros,Agaetis Byrjun,90,0,1DMMv1Kmoli3Y9fVEZDUVC,https://a5.mzstatic.com/us/r1000/0/Music114/v4/f7/34/fd/f734fd6c-aeca-8052-825c-706d1c665a8b/190296941856.jpg
Sigur Ros,Tak...,91,0,3sE83l3A58DipFp3EzNLiE,https://a5.mzstatic.com/us/r1000/0/Music114/v4/ce/3e/b8/ce3eb805-fb13-0200-5856-081ed0014e13/190296926952.jpg
Teymori,Teymori,92,0,5rS3QIZCVJiqURLRhc0KW5,https://a5.mzstatic.com/us/r1000/0/Music122/v4/75/ed/ab/75edab20-4bf2-e608-8855-437f1bf1d6e6/artwork.jpg
Summer Walker,Over It,93,0,1qgJNWnPIeK9rx7hF8JCPK,https://a5.mzstatic.com/us/r1000/0/Music115/v4/4a/53/20/4a532075-d7af-ab90-5cbf-2e032be140f4/19UMGIM85343.rgb.jpg
Disclosure,Settle,94,0,0v5BqH7RQlIuJIWfQCl1Bp,https://a5.mzstatic.com/us/r1000/0/Music124/v4/c3/eb/3e/c3eb3efb-bc90-d5ac-c7c3-a047b08af582/13UMGIM46983.rgb.jpg
Pouch Envy,"VIP CLUB EDITS, Vol. 2",95,0,5LiY0zzjnblOGVfwGi0oHQ,https://a5.mzstatic.com/us/r1000/0/Music122/v4/bd/c7/18/bdc7188e-9d4b-bd3b-3cb1-7857b08765dc/artwork.jpg
Shygirl,Nymph,96,0,3i4ZYO2l14kCTRzw90JmZ4,https://a5.mzstatic.com/us/r1000/0/Music112/v4/dd/50/2a/dd502a01-fe53-3529-3a3e-d080c0a46546/5056556107729_cover.jpg
Doss,4 New Hit Song *Remixes,97,0,5wpmAoT9ZcBQ1YAcloFVhj,https://a5.mzstatic.com/us/r1000/0/Music122/v4/1a/a7/5a/1aa75aeb-648c-0cfd-c4d7-dc0a5afcb9b6/5056614702804.jpg
Ta-Ku,Do What You Love,98,0,4Ky5T2DLApli3Z8qmf28Cv,https://a5.mzstatic.com/us/r1000/0/Music116/v4/d9/19/48/d91948c6-9a0a-a282-1155-9494d25cabdf/cover.jpg
Kevin Aviance,Box Of Chocolates,99,0,1iIC7QKwsTtWNRV7NxfrK5,https://a5.mzstatic.com/us/r1000/0/Music/a6/75/76/mzi.haimozti.jpg
Purity Ring,Shrines,100,0,7nuxFL8lYQTIlpEEPEMpN8,https://a5.mzstatic.com/us/r1000/0/Music122/v4/fa/ef/be/faefbec4-10e9-8c0b-c350-cfa5d6f28a07/652637321869.png
Phoebe Bridgers,Stranger in the Alps (Deluxe Edition),101,0,5rcJ5xCMYYLCgGilFDKRZl,https://a5.mzstatic.com/us/r1000/0/Music114/v4/fa/28/32/fa2832a4-b5fc-97e3-9ec6-30bb54403880/656605379852.jpg
Fat Sushi,"Life, Death & Robots",102,0,1Nj0HVE0wr5cAPzzPkFose,https://a5.mzstatic.com/us/r1000/0/Music125/v4/58/a3/32/58a33293-4091-ade7-fe30-ae9cdb38e306/5056495363262_1.jpg
Frank Ocean,Channel ORANGE (Explicit Version),103,0,623Ef2ZEB3Njklix4PC0Rs,https://a5.mzstatic.com/us/r1000/0/Music125/v4/04/f8/63/04f863fc-2852-604f-c910-a97ac069506b/12UMGIM40339.rgb.jpg
Dodie,Build a Problem,104,0,2oMbQ7W1QddUdasTYrJdzE,https://a5.mzstatic.com/us/r1000/0/Music115/v4/d3/f2/a2/d3f2a2e2-9ea7-f9e5-41e6-9e4a35416cc0/195497329526.jpg
Teksa,Space Travel,105,0,4oCmIux1RVR4skfbQU4vwh,https://a5.mzstatic.com/us/r1000/0/Music125/v4/bd/48/8a/bd488a19-9125-7606-cebd-7a29fa165097/3665741000268.png
FKA Twigs,CAPRISONGS,106,0,3G77BQuJy3jahjdkKQNNNM,https://a5.mzstatic.com/us/r1000/0/Music116/v4/8b/e0/83/8be08379-7184-9dcb-ee56-c609ae819737/075679760906.jpg
Steve Lacy,Gemini Rights,107,0,3Ks0eeH0GWpY4AU20D5HPD,https://a5.mzstatic.com/us/r1000/0/Music112/v4/2a/cb/e3/2acbe3f1-7a65-e2c1-8f12-ba04c6ee05dc/196589099631.jpg
